@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Embedding_Feature_8 NUMERIC
@ATTRIBUTE Embedding_Feature_9 NUMERIC
@ATTRIBUTE Embedding_Feature_10 NUMERIC
@ATTRIBUTE Embedding_Feature_11 NUMERIC
@ATTRIBUTE Embedding_Feature_12 NUMERIC
@ATTRIBUTE Embedding_Feature_13 NUMERIC
@ATTRIBUTE Embedding_Feature_14 NUMERIC
@ATTRIBUTE Embedding_Feature_15 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
276,12,0.0,0.1,29.02,19.1,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
276,13,0.0,-0.4,24.9,20.07,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
276,14,0.0,0.1,25.55,18.38,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
276,15,1.0,0.1,25.78,20.95,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
276,16,1.0,0.2,22.02,15.05,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
276,17,0.0,-0.2,23.75,17.33,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
276,18,0.0,0.2,21.3,15.52,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
276,19,1.0,1.0,23.72,14.3,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
274,1,0.0,0.2,27.2,19.9,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
274,2,0.0,-0.3,28.65,20.83,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
274,3,0.0,0.2,26.5,19.2,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
274,4,0.0,-0.1,24.92,16.3,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
274,5,0.0,0.1,25.83,20.1,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
274,6,0.0,0.2,21.6,17.4,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
274,7,0.0,-0.2,26.5,29.0,110.0,54270.023,34563.883,66.0,19.0,1.4709591,0.4674048,1.205925,-0.1815542,-1.4065262,0.74424636,0.22322118,0.37378755,-2.245708,-0.807289,0.05846061,1.1692896,1.0525204,1.4228109,-0.5866193,0.99658656,0
274,8,0.0,-0.2,28.0,20.87,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
274,9,0.0,-0.2,22.4,15.0,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
274,10,0.0,0.2,22.1,13.57,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
274,11,1.0,-0.2,17.5,12.5,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
274,12,0.0,0.1,29.02,19.1,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
274,13,0.0,-0.4,24.9,20.07,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
274,14,0.0,-0.1,25.55,18.38,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
274,15,1.0,-0.1,25.78,20.95,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
274,16,1.0,-0.2,22.02,15.05,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
274,17,0.0,-0.2,23.75,17.33,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
274,18,0.0,0.1,21.3,15.52,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
274,19,1.0,-0.1,23.72,14.3,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
275,1,0.0,0.1,27.2,19.9,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
275,2,0.0,-0.3,28.65,20.83,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
275,3,0.0,0.2,26.5,19.2,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
275,4,0.0,-0.1,24.92,16.3,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
275,5,0.0,0.1,25.83,20.1,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
275,6,0.0,-0.2,21.6,17.4,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
275,7,0.0,-0.2,26.5,29.0,110.0,54270.023,34563.883,66.0,19.0,1.4709591,0.4674048,1.205925,-0.1815542,-1.4065262,0.74424636,0.22322118,0.37378755,-2.245708,-0.807289,0.05846061,1.1692896,1.0525204,1.4228109,-0.5866193,0.99658656,0
275,8,0.0,-0.2,28.0,20.87,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
275,9,0.0,-0.1,22.4,15.0,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
275,10,0.0,0.2,22.1,13.57,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
275,11,1.0,-0.2,17.5,12.5,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
275,12,0.0,-0.1,29.02,19.1,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
275,13,0.0,-0.4,24.9,20.07,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
275,14,0.0,-10.0,25.55,18.38,185.0,86114.13,109004.93,75.0,157.0,0.302386,0.19752808,0.31703365,0.3644806,-1.2900888,-0.7384164,0.28258306,-0.100591324,-1.1770264,0.13608529,-0.9467797,-0.5179288,-0.05368464,0.05674625,1.1164953,0.09268632,1
275,15,1.0,-0.1,25.78,20.95,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
275,16,1.0,-0.2,22.02,15.05,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
275,17,0.0,-0.2,23.75,17.33,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
275,18,0.0,-0.1,21.3,15.52,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
275,19,1.0,-0.1,23.72,14.3,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
281,1,0.0,0.2,28.4,20.6,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
281,2,0.0,-0.3,27.55,20.1,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
281,3,0.0,0.2,26.5,19.65,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
281,4,0.0,-0.2,26.5,17.77,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
281,5,0.0,0.1,26.5,21.0,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
281,6,0.0,0.2,22.5,18.55,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
281,7,0.0,-0.2,27.5,29.8,110.0,54270.023,34563.883,66.0,19.0,1.4709591,0.4674048,1.205925,-0.1815542,-1.4065262,0.74424636,0.22322118,0.37378755,-2.245708,-0.807289,0.05846061,1.1692896,1.0525204,1.4228109,-0.5866193,0.99658656,0
281,8,0.0,-0.2,28.5,20.95,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
281,9,0.0,-0.2,23.13,15.77,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
281,10,0.0,0.2,22.5,14.4,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
281,11,1.0,-0.2,17.5,13.6,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
281,12,0.0,0.1,29.9,19.6,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
281,13,0.0,-0.4,26.6,21.75,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
281,14,0.0,-0.1,26.03,18.47,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
281,15,1.0,-0.1,25.72,20.92,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
281,16,1.0,-0.2,21.7,14.92,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
281,17,0.0,-0.2,25.5,19.6,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
281,18,0.0,0.2,22.45,16.65,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
284,1,0.0,0.5,28.4,20.6,97.0,31631.025,11003.476,61.0,28.0,0.065440856,0.8966023,0.26990354,-0.112599045,-1.5262513,0.58326817,-0.64286405,-0.48290786,-1.04744,-1.6416818,-0.95158273,0.5273827,0.12079244,0.2025741,0.58979166,-0.8216476,1
284,2,0.0,-0.3,27.55,20.1,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
284,3,0.0,0.2,26.5,19.65,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
284,4,0.0,-0.1,26.5,17.77,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
284,5,0.0,0.1,26.5,21.0,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
284,6,0.0,0.2,22.5,18.55,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
284,7,0.0,-4.2,27.5,29.8,79.0,22610.686,13695.205,56.0,13.0,1.4472861,0.4608675,1.2424564,-0.16920477,-1.4609866,0.80544645,0.21956496,0.3437491,-2.217293,-0.79475147,0.08284705,1.176012,1.0925759,1.4152341,-0.632673,0.99745256,1
284,8,0.0,-0.2,28.5,20.95,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
284,9,0.0,0.3,23.13,15.77,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
284,10,0.0,0.2,22.5,14.4,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
284,11,1.0,-0.2,17.5,13.6,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
284,12,0.0,-0.1,29.9,19.6,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
284,13,0.0,-0.4,26.6,21.75,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
284,14,0.0,-0.1,26.03,18.47,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
284,15,1.0,1.0,25.72,20.92,0.0,0.0,0.0,0.0,0.0,0.027551427,0.0231185,0.03068865,-0.004202647,0.009552661,-0.021319209,-0.012456771,-0.021083776,0.018148825,0.016293317,-0.02476909,0.0032049306,-0.014784692,-0.003597295,-0.004300967,0.02932541,1
284,16,1.0,1.9,21.7,14.92,0.0,0.0,0.0,0.0,0.0,0.0026133545,0.0058984496,0.029888164,-0.018185448,-0.02894378,-0.029877733,0.026478257,-0.026739594,0.021819025,-0.0056587085,-0.0022060275,0.022834007,0.031178739,-0.028313464,0.021634668,0.00831598,1
284,17,0.0,0.6,25.5,19.6,2.0,46599.184,17926.8,2.0,2.0,0.6153457,-0.42367163,-0.37926763,-0.34395897,-2.3957865,1.1610425,1.7918843,-1.5767815,-0.4296455,-0.3703578,-1.3250588,2.1439412,-0.05135026,0.98494154,-0.13731122,-0.7225207,1
284,18,0.0,1.3,22.45,16.65,13.0,32604.17,32296.78,2.0,3.0,2.5016668,-0.34904248,2.2555335,-1.3726963,-0.9611444,2.8169715,2.9520776,0.30780962,-3.0100586,0.77252215,0.237468,1.0893276,-2.555532,-0.1181266,3.554239,-3.5654018,1
284,19,1.0,-0.1,23.72,14.3,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
282,1,0.0,0.1,28.4,20.6,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
282,2,0.0,-0.3,27.55,20.1,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
282,3,0.0,0.2,26.5,19.65,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
282,4,0.0,-0.2,26.5,17.77,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
282,5,0.0,-0.1,26.5,21.0,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
282,6,0.0,0.2,22.5,18.55,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
